name,city,location,date,high_price,low_price,actor,state
白举纲“白日梦境”2020全国巡演-北京站,北京,2020.12.25 周五 20:00,白举纲,售票中,糖果TANGO-雍和宫店三层,380,680
星球世纪DMC嘉年华,大连,2020.11.22 周日,,售票中,东港大连国际会议中心一层展厅,79,355
霓虹花园「再见威尔逊」新专辑巡演-长沙站,长沙,2020.12.04-12.05,,售票中,46LIVEHOUSE,150,150
白举纲“白日梦境”2020全国巡演-南京站,南京,2020.11.21 周六 20:00,白举纲,售票中,南京-稻香音乐空间,380,680
“下一站，旅程”张叶蕾2020巡回演唱会 宁波站,宁波,2020.11.28 周六 20:30,,售票中,宁波灯塔音乐现场,120,120
裘德“巡演的时候我要「缺席」” 重庆站,重庆,2020.12.06 周日 20:00,,售票中,重庆VOX LIVEHOUSE,120,120
光輝的歲月·紀念黃家駒逝世27载巡迴演唱會大連站,大连,2021.01.14 周四 20:30,,售票中,赫兹音乐空间(黑石礁店),118,188
西游乐队2020北京专场演出,北京,2020.12.10 周四 20:00,,售票中,MAO Livehouse北京,150,150
12月27日 掌声响起来  大麦66Live house天津,天津,2020.12.27 周日 20:00,,售票中,大麦66LiveHouse天津,128,128
黑屋乐队 你大可不必假装快乐 2020巡演 天津站,天津,2020.11.28 周六 13:00,黑屋乐队,售票中,大麦66LiveHouse天津,68,88
Click#15疯客与舞蹈FUNK ＆ DANCE 2020巡演 青岛站,青岛,2020.12.26 周六 20:30,,售票中,So.Downtown,160,160
【星巢现场】Colorful Bar彩色文胸「大回环」巡演-上海站,上海,2020.12.06 周日 20:00,,售票中,MAO Livehouse上海,100,120
2020“直到世界尽头”经典动漫演唱会-回到热血青春年少时！,成都,2020.12.12 周六 19:30,,售票中,乐空间Yue Space(原正火艺术中心6号馆),180,380
聚光灯周三周四周日爆笑脱口秀剧场,上海,2020.11.28-11.29,,售票中,健力士醇黑坊,99,99
2020圣诞超级枕头大战-全程高能一战入魂-深圳站,深圳,2020.12.25 周五,,售票中,深圳市南山区A8音乐大厦二层A8Live,158,358
【3Bangz$未来星B3Rich】失败经验分享  2020巡演广州站,广州,2021.01.02 周六 19:30,,售票中,MAO Livehouse广州,150,299
2020“平安夜一起来听歌”圣诞演唱会-唯有浪漫不可辜负,天津,2020.12.24 周四 19:30,,售票中,大麦66LiveHouse天津,180,299
与她生活节Pro 上海站,上海,2020.12.26 周六 20:00,,售票中,MAO Livehouse上海,220,260
「开心麻花」即兴剧团-即兴SHOW,成都,2020.11.28 周六 20:00,,售票中,MAO Livehouse成都,100,880
马潇与失眠症「你找到避雨的地方了吗？」2020巡演 常州站,常州,2020.11.28 周六 20:00,,售票中,迷宫livehouse,80,80
《光輝的歲月·紀念黃家駒逝世27載》巡迴演唱會广州站,广州,2020.11.25 周三 19:30,,售票中,TU凸空间,168,228
【秀动呈献】功夫胖dreamer巡演 天津站,天津,2020.11.21 周六 20:30,,售票中,大麦66LiveHouse天津,220,220
2020真的爱你-致敬BEYOND·黄家驹演唱会 最帅最接近原音的家驹传承者！,成都,2020.12.05 周六 19:30,,售票中,乐空间Yue Space(原正火艺术中心6号馆),180,480
FORGOTTEN CLUB遗忘俱乐部‘WHERE SHALL WE GO’ 2020巡演 上海站,上海,2020.12.20 周日 20:00,,售票中,Modernsky lab上海,180,180
FORGOTTEN CLUB遗忘俱乐部‘WHERE SHALL WE GO’ 2020巡演 成都站,成都,2020.12.13 周日 20:00,,售票中,成都CH8冇独空间·完美店,180,180
肆囍 · 【Filter】2020巡演 好久不见 有新歌招待... ...北京站,北京,2020.12.13 周日 20:30,,售票中,MAO Livehouse北京,100,190
11月29日 打扰一下乐团“世界不会轻易崩塌”2020巡演,天津,2020.11.29 周日 20:00,打扰一下,售票中,大麦66LiveHouse天津,160,280
霓虹花园「再见威尔逊」新专辑巡演 | 厦门站,厦门,2020.12.19 周六 20:00,,售票中,星巢越中心,150,150
刺猬现场* 2020巡回演出 南京站,南京,2020.12.04 周五 20:00,,售票中,南京-稻香音乐空间,328,328
【星巢现场】Colorful Bar彩色文胸「大回环」巡演-杭州站,杭州,2020.12.05 周六 20:00,,售票中,MAO Livehouse杭州,100,120
霓虹花园「再见威尔逊」新专辑巡演 合肥站,合肥,2020.12.20 周日 20:00,,售票中,ON THE WAY LIVEHOUSE,150,150
2020圣诞超级枕头大战-全程高能一战入魂,北京,2020.12.24 周四,,售票中,疆进酒·OMNI SPACE,168,268
MOJOHAND2020 巡演 上海站,上海,2020.11.28 周六 20:00,,售票中,上海 LOFAS,100,120
《往后余生》《醒着醉》原唱——马良“理想世界”巡演-天津站,天津,2020.12.26 周六 20:30,马良,售票中,二十年音乐现场,120,150
鹿先森「敬这伟大的良宵」巡演 西安站,西安,2020.12.19 周六 20:00,鹿先森乐队,售票中,果核剧场,220,220
HIGB三周年-大连专场,大连,2020.11.21 周六 20:00,,售票中,赫兹音乐空间(黑石礁店),120,499
鹿先森「敬这伟大的良宵」巡演 苏州站,苏州,2020.12.12 周六,鹿先森乐队,售票中,苏州阳澄国际电竞馆,180,360
白举纲“白日梦境”2020全国巡演-天津站,天津,2020.12.26 周六 20:00,白举纲,售票中,大麦66LiveHouse天津,380,680
